==========================================================================================
TABLAS COMPARATIVAS PARA: Set_of_data.txt
==========================================================================================

Tabla 1. n(t): Runge-Kutta vs SciPy/Numpy
-----------------------------------------
   t                                Runge-Kutta                 Metodo propio / referencia      APE (%)
   0                               2500000000.0                               2500000000.0     2.00e-14
   1          2526788722.6972870194118707966896                           2526788722.69729     1.34e-13
   2          2560927392.1924024561899750748352                          2560927392.192404     7.20e-14
   3          2596078075.2049810421251040348262                          2596078075.204985     1.41e-13
   4          2632239324.1643082546008501582886                          2632239324.164315     2.45e-13
   5          2669454307.3567170299037826506393                          2669454307.356723     2.16e-13
   6           2707769002.456070672244807246025                          2707769002.456074     1.16e-13
   7          2747232079.5016522538333835465949                          2747232079.501653     3.44e-14
   8           2787895096.891962039437571567132                          2787895096.891963     3.45e-14
   9          2829812717.3368721602996960237679                          2829812717.337032     5.66e-12
  10          2873042943.3857724501835823585467                          2873042943.385938     5.77e-12
  11          2917647374.6004032335667883568565                          2917647374.600577     5.97e-12
  12          2963691488.7163518012375819743559                          2963691488.716877     1.77e-11
  13          3011244949.4305866175099053932507                          3011244949.431103     1.72e-11
  14          3060381943.7873705820744404106213                          3060381943.787877     1.65e-11
  15          3111181552.5182582754441354488455                          3111181552.518753     1.59e-11
  16          3163728157.1315028755742665064893                          3163728157.131985     1.52e-11
  17          3218111888.0513562571308717062765                          3218111888.051834     1.48e-11
  18          3274429118.6894245280765235868151                          3274429118.689896     1.44e-11
  19          3332783011.0014742078113962866264                          3332783011.001939     1.39e-11
  20          3393284118.8593764284546053587254                          3393284118.859833     1.34e-11


Tabla 2. n(t): Runge-Kutta vs metodo propio con mpmath
------------------------------------------------------
   t                                Runge-Kutta                 Metodo propio / referencia      APE (%)
   0                               2500000000.0                               2500000000.0          0.0
   1          2526788722.6972870194118707966896          2526788722.6972870150205111049081   1.7379e-16
   2          2560927392.1924024561899750748352          2560927392.1924024518191192285471   1.7067e-16
   3          2596078075.2049810421251040348262          2596078075.2049810376960129850637   1.7061e-16
   4          2632239324.1643082546008501582886          2632239324.1643082501101066841395   1.7061e-16
   5          2669454307.3567170299037826506393          2669454307.3567170253495726905141   1.7060e-16
   6           2707769002.456070672244807246025          2707769002.4560706676252556840755   1.7060e-16
   7          2747232079.5016522538333835465949          2747232079.5016522491465324964825   1.7060e-16
   8           2787895096.891962039437571567132          2787895096.8919620346813752755236   1.7060e-16
   9          2829812717.3368721602996960237679          2829812717.3368721554720155803895   1.7060e-16
  10          2873042943.3857724501835823585467          2873042943.3857724452821800071056   1.7060e-16
  11          2917647374.6004032335667883568565          2917647374.6004032285893213681673   1.7060e-16
  12          2963691488.7163518012375819743559          2963691488.7163517961815960408359   1.7060e-16
  13          3011244949.4305866175099053932507          3011244949.4305866123728274994893   1.7060e-16
  14          3060381943.7873705820744404106213          3060381943.7873705768535711296736   1.7060e-16
  15          3111181552.5182582754441354488455          3111181552.5182582701366406081969   1.7059e-16
  16          3163728157.1315028755742665064893          3163728157.1315028701771681611874   1.7059e-16
  17          3218111888.0513562571308717062765          3218111888.0513562516410383494168   1.7059e-16
  18          3274429118.6894245280765235868151          3274429118.6894245224906595192734   1.7059e-16
  19          3332783011.0014742078113962866264          3332783011.0014742021260300584902   1.7059e-16
  20          3393284118.8593764284546053587254          3393284118.8593764226660771841286   1.7059e-16


Tabla 3. C(t): Runge-Kutta vs metodo propio con SciPy/Numpy
-----------------------------------------------------------
   t                                Runge-Kutta                 Metodo propio / referencia      APE (%)
   0                           12500000000000.0                           12500000000000.0          0.0
   1          12500056627471.277870862943625622                          12500056628868.03      1.12e-8
   2           12500275304465.27860976788628436                          12500275305912.06      1.16e-8
   3          12500666948952.489811067935649948                          12500666950442.13      1.19e-8
   4          12501236375991.025055138192244595                          12501236377525.25      1.23e-8
