==========================================================================================
TABLAS COMPARATIVAS PARA: output_2.txt
==========================================================================================

Tabla 1. n(t): Runge-Kutta vs SciPy/Numpy
-----------------------------------------
   t                                Runge-Kutta                 Metodo propio / referencia      APE (%)
   0                               2500000000.0                               2500000000.0     2.00e-14
   1          2638746033.0959960591315136736263                             2638746033.096     1.38e-13
   2          2833564263.2399389103236681537122                          2833564263.239943     1.62e-13
   3          3059415272.4138040948705079514538                          3059415272.413806     6.23e-14
   4          3323804585.5673728129548852239184                          3323804585.567366     2.17e-13
   5          3637232497.1492549498120736753669                          3637232497.149264     2.57e-13
   6          4014285080.5489487962984415067835                          4014285080.548952     6.98e-14
   7          4475763841.3801622381249815325007                          4475763841.380193     6.83e-13
   8          5052259076.7841219592545508107039                          5052259076.784139     3.31e-13
   9          5790396831.7996530966183920549511                          5790396831.799657     6.57e-14
  10          6764302996.4769759581016662017838                          6764302996.476975     8.25e-15
  11          8097858878.2014916451252181612351                          8097858878.201161     4.08e-12
  12          10010831959.365524424492616250568                          10010831959.36552     4.42e-14
  13          12922112589.244348194654360721257                          12922112589.24436     1.07e-13
  14          17702501484.581389094252176802944                          17702501484.58142     1.58e-13
  15          26362733951.200494312835803274067                          26362733951.20056     2.42e-13
  16          44173543018.879936782210312158666                          44173543018.88006     2.74e-13
  17           87217265146.87391602209717189041                          87217265146.87401     1.05e-13
  18           214201033069.9987238837395673688                          214201033070.0322     1.56e-11
  19           688824236277.5570418660113280762                          688824236277.5642     1.04e-12
  20          3008180437997.9538242758295401843                          3008180437997.972     6.11e-13


Tabla 2. n(t): Runge-Kutta vs metodo propio con mpmath
------------------------------------------------------
   t                                Runge-Kutta                 Metodo propio / referencia      APE (%)
   0                               2500000000.0                               2500000000.0          0.0
   1          2638746033.0959960591315136736263          2638746033.0959960580177712969034   4.2207e-17
   2          2833564263.2399389103236681537122          2833564263.2399389097164760366796   2.1429e-17
   3          3059415272.4138040948705079514538          3059415272.4138040942344597579572   2.0790e-17
   4          3323804585.5673728129548852239184           3323804585.567372812276059771979   2.0423e-17
   5          3637232497.1492549498120736753669          3637232497.1492549490856505846089   1.9972e-17
   6          4014285080.5489487962984415067835          4014285080.5489487955195878751829   1.9402e-17
   7          4475763841.3801622381249815325007          4475763841.3801622372891225006279   1.8675e-17
   8          5052259076.7841219592545508107039          5052259076.7841219583583278586825   1.7739e-17
