==========================================================================================
TABLAS COMPARATIVAS PARA: Second_input_data_amano.txt
==========================================================================================

Tabla 1. n(t): Runge-Kutta vs SciPy/Numpy
-----------------------------------------
   t                                Runge-Kutta                 Metodo propio / referencia      APE (%)
   0                                        1.0                                        1.0     4.00e-14
   1           1.043887803829949741554671908352                           1.04388780382995     6.31e-14
   2          1.1212662886036674802452313643156                          1.121266288603668     3.74e-14
   3          1.2186194117596753586286300831468                          1.218619411759675     3.39e-15
   4          1.3401318965886071664041019747957                          1.340131896588608     7.71e-14
   5          1.4934866227230353200214997883496                          1.493486622723036     2.54e-14
   6          1.6899180640235080985757839080664                          1.689918064023513     3.02e-13
   7          1.9460411642835385166924461643737                          1.946041164283539     9.42e-15
   8          2.2870978456232402263384370462588                          2.287097845623241     5.13e-14
   9          2.7526500679522542304733863925842                          2.752650067952255     2.80e-14
  10          3.4069180144421208642976228223747                          3.406918014442124     8.03e-14
  11          4.3583468865346136914490764297256                          4.358346886534616     6.21e-14
  12          5.7983837416952251395233568557798                          5.798383741695231     9.93e-14
  13          8.0823393684835977381515915973585                          8.082339368483609     1.41e-13
  14          11.907782256134294127610646924959                           11.9077822561343     5.77e-14
  15          18.733363822542678231856412412955                          18.73336382254269     5.75e-14
  16          31.831857474468123737531582555397                          31.83185747446814     6.37e-14
  17          59.144612415910665197902381622717                          59.14461241591074     1.32e-13
  18          121.68200977354653132506543462107                          121.6820097735658     1.58e-11
  19          280.55648864835352531498828555707                          280.5564886482617     3.27e-11
  20          732.79597639812832886198119806566                          732.7959763980439     1.15e-11


Tabla 2. n(t): Runge-Kutta vs metodo propio con mpmath
------------------------------------------------------
   t                                Runge-Kutta                 Metodo propio / referencia      APE (%)
   0                                        1.0                                        1.0          0.0
   1           1.043887803829949741554671908352          1.0438878038299497413557634005379   1.9055e-17
   2          1.1212662886036674802452313643156          1.1212662886036674801644663436899   7.2030e-18
   3          1.2186194117596753586286300831468          1.2186194117596753585617854768508   5.4853e-18
   4          1.3401318965886071664041019747957          1.3401318965886071663323127069384   5.3569e-18
   5          1.4934866227230353200214997883496          1.4934866227230353199411507487098   5.3800e-18
   6          1.6899180640235080985757839080664          1.6899180640235080984852902853475   5.3549e-18
   7          1.9460411642835385166924461643737          1.9460411642835385165903982885731   5.2439e-18
   8          2.2870978456232402263384370462588          2.2870978456232402262233882395606   5.0303e-18
   9          2.7526500679522542304733863925842          2.7526500679522542303439285728508   4.7030e-18
  10          3.4069180144421208642976228223747          3.4069180144421208641525984386078   4.2568e-18
  11          4.3583468865346136914490764297256          4.3583468865346136912879679765585   3.6965e-18
  12          5.7983837416952251395233568557798            5.79838374169522513934706933188   3.0403e-18
  13          8.0823393684835977381515915973585          8.0823393684835977379647818031375   2.3113e-18
  14          11.907782256134294127610646924959           11.90778225613429412743226629679   1.4980e-18
  15          18.733363822542678231856412412955          18.733363822542678231776153975808   4.2843e-19
  16          31.831857474468123737531582555397          31.831857474468123738022150688674   1.5411e-18
  17          59.144612415910665197902381622717          59.144612415910665201566464933228   6.1951e-18
  18          121.68200977354653132506543462107          121.68200977354653134663477070014   1.7726e-17
  19          280.55648864835352531498828555707          280.55648864835352544087010356951   4.4869e-17
  20          732.79597639812832886198119806566           732.7959763981283296250296056844   1.0413e-16


Tabla 3. C(t): Runge-Kutta vs metodo propio con SciPy/Numpy
-----------------------------------------------------------
   t                                Runge-Kutta                 Metodo propio / referencia      APE (%)
   0          31.977975434138077085980516730199                          31.97797543413808     2.69e-16
   1          32.019461543417706895816604001873                          32.01946314160459      4.99e-6
   2          32.213388423969782891795530896522                          32.21339069107536      7.04e-6
   3          32.604125001697674449669550437178                          32.60412798291566      9.14e-6
   4          33.229266224378980902583614626395                          33.22927008161645      1.16e-5
   5          34.138353065470425227218519124353                          34.13835803780165      1.46e-5
   6          35.399874403582424281380103238725                          35.39988083878775      1.82e-5
   7          37.110431453936567326554447389423                          37.11043986847999      2.27e-5
   8          39.409254531447584508327443068147                          39.40926571324066      2.84e-5
   9          42.502176466037078837471989862755                          42.50219165555726      3.57e-5
  10          46.702647580931074495141886535891                          46.70266880307811      4.54e-5
  11          52.504673700887124753951065534345                          52.50470440005842      5.85e-5
  12          60.718236065334776219871680723045                          60.71828238075814      7.63e-5
  13          72.733102516298822563671648396474                          72.73317598331583      1.01e-4
  14          91.061066991781797914982097669001                          91.06119061045641      1.36e-4
  15          120.51905368848553138269823968088                          120.5192764713979      1.85e-4
  16          170.98757803428100794937654998538                          170.9880124592256      2.54e-4
  17          264.33235903118149080509299082539                           264.333285291382      3.50e-4
  18          453.23617938053981739000496002315                          453.2383613254403      4.81e-4
  19          877.18489853869107774340377945173                           877.190633554507      6.54e-4
  20          1945.7644490992606880773558682695                          1945.781420539222      8.72e-4


Tabla 4. n(t): Runge-Kutta vs SciPy/Numpy, tiempos pares
--------------------------------------------------------
   t                                Runge-Kutta                 Metodo propio / referencia      APE (%)
   0                                        1.0                                        1.0     4.00e-14
   2          1.1212662886036674802452313643156                          1.121266288603668     3.74e-14
   4          1.3401318965886071664041019747957                          1.340131896588608     7.71e-14
   6          1.6899180640235080985757839080664                          1.689918064023513     3.02e-13
   8          2.2870978456232402263384370462588                          2.287097845623241     5.13e-14
  10          3.4069180144421208642976228223747                          3.406918014442124     8.03e-14
  12          5.7983837416952251395233568557798                          5.798383741695231     9.93e-14
  14          11.907782256134294127610646924959                           11.9077822561343     5.77e-14
  16          31.831857474468123737531582555397                          31.83185747446814     6.37e-14
  18          121.68200977354653132506543462107                          121.6820097735658     1.58e-11
  20          732.79597639812832886198119806566                          732.7959763980439     1.15e-11


Tabla 5. n(t): Runge-Kutta vs metodo propio con mpmath, tiempos pares
---------------------------------------------------------------------
   t                                Runge-Kutta                 Metodo propio / referencia      APE (%)
   0                                        1.0                                        1.0          0.0
